,Editeur,titres
3201,PRESSE GRATUITE LILLE METROPOLE (PGLM),1
3202,PRESSE MEDIA COMMUNICATION,1
3203,PRESSE MEDIAS LOCAUX (PML),1
2631,LES EDITIONS DU VIN,1
3205,PRESSE NON-STOP,1
3206,PRESSE NORMANDE DE COMMUNICATION ( PNC ),1
3207,PRESSE TIME,1
3208,PRESSE UP INTERNATIONAL,1
2630,LES EDITIONS DU SITES,1
3209,PRESSES DE LA FONDATION NATIONALE DES SCIENCES POLITIQUES,1
3210,PRESSES DE LA FONDATION NATIONALE DES SCIENCES POLITIQUES (PFNSP ) - PRESSES DE SCIENCES PO,1
3192,PRESSE & COMMUNICATION CORSICA,1
2640,LES EDITIONS MARC CHAMOREL,1
3191,PRESSAVENIR,1
3190,PRESS HEBDO,1
3171,PM GROUP,1
3172,POINT CARRE HANDICAP,1
3173,POINTS DE VENTE,1
3174,POLE DE RENAISSANCE COMMUNISTE EN FRANCE (PRCF),1
2647,LES EDITIONS REGARDS,1
2646,LES EDITIONS PARISIENNES,1
3176,POLITIS,1
3177,POLKA IMAGE,1
