,date de notification,date de fin,prestataire,objet,montant
41,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
42,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
43,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
44,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
45,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
46,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,244800.0
47,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,244320.0
48, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,244200.0
49,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",242475.0
50,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,241392.0
51,43319,2021-08-06 00:00:00,SCOPYLEFT,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,240000.01
52, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,239040.0
53, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,238920.0
54,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,238680.0
